   Tempo_min       X_0cm           X_1cm           X_2cm           X_3cm           X_4cm           X_5cm           X_6cm           X_7cm           X_8cm           X_9cm           X_10cm          H_0cm           H_1cm           H_2cm           H_3cm           H_4cm           H_5cm           H_6cm           H_7cm           H_8cm           H_9cm           H_10cm          T_0cm           T_1cm           T_2cm           T_3cm           T_4cm           T_5cm           T_6cm           T_7cm           T_8cm           T_9cm           T_10cm
   1.0555583e-01   2.7161763e-01   3.1530681e-01   3.6111755e-01   4.1006017e-01   4.3973158e-01   4.4893071e-01   4.5099444e-01   4.5141647e-01   4.5150079e-01   4.5151751e-01   4.5152081e-01   1.6002007e-02   1.6003808e-02   1.6005301e-02   1.6006241e-02   1.6006576e-02   1.6006658e-02   1.6006675e-02   1.6006679e-02   1.6006680e-02   1.6006680e-02   1.6006680e-02   4.8822386e+01   3.8573347e+01   2.9980956e+01   2.4621302e+01   2.2723569e+01   2.2264181e+01   2.2165771e+01   2.2145340e+01   2.2141140e+01   2.2140281e+01   2.2140106e+01
   1.1111139e-01   2.6382921e-01   3.0827872e-01   3.5525036e-01   4.0630928e-01   4.3836587e-01   4.4859649e-01   4.5092263e-01   4.5140154e-01   4.5149772e-01   4.5151688e-01   4.5152068e-01   1.6001960e-02   1.6003738e-02   1.6005234e-02   1.6006205e-02   1.6006565e-02   1.6006654e-02   1.6006673e-02   1.6006677e-02   1.6006678e-02   1.6006678e-02   1.6006678e-02   4.9089555e+01   3.8970685e+01   3.0359520e+01   2.4812253e+01   2.2777238e+01   2.2276412e+01   2.2168414e+01   2.2145902e+01   2.2141257e+01   2.2140304e+01   2.2140110e+01
   1.1666694e-01   2.5622669e-01   3.0133961e-01   3.4937438e-01   4.0243449e-01   4.3690309e-01   4.4823233e-01   4.5084384e-01   4.5138510e-01   4.5149432e-01   4.5151618e-01   4.5152054e-01   1.6001913e-02   1.6003668e-02   1.6005166e-02   1.6006168e-02   1.6006553e-02   1.6006650e-02   1.6006671e-02   1.6006675e-02   1.6006676e-02   1.6006677e-02   1.6006677e-02   4.9353058e+01   3.9366554e+01   3.0744374e+01   2.5014334e+01   2.2835291e+01   2.2289727e+01   2.2171298e+01   2.2146516e+01   2.2141386e+01   2.2140330e+01   2.2140114e+01
   1.2222250e-01   2.4880749e-01   2.9449097e-01   3.4349466e-01   3.9843978e-01   4.3533858e-01   4.4783581e-01   4.5075747e-01   4.5136701e-01   4.5149057e-01   4.5151541e-01   4.5152038e-01   1.6001866e-02   1.6003599e-02   1.6005097e-02   1.6006129e-02   1.6006541e-02   1.6006646e-02   1.6006669e-02   1.6006674e-02   1.6006675e-02   1.6006675e-02   1.6006675e-02   4.9612842e+01   3.9760747e+01   3.1135007e+01   2.5227840e+01   2.2898067e+01   2.2304223e+01   2.2174444e+01   2.2147187e+01   2.2141528e+01   2.2140359e+01   2.2140119e+01
   1.2777806e-01   2.4156900e-01   2.8773417e-01   3.3761592e-01   3.9432957e-01   4.3366784e-01   4.4740435e-01   4.5066284e-01   4.5134711e-01   4.5148644e-01   4.5151455e-01   4.5152020e-01   1.6001821e-02   1.6003530e-02   1.6005026e-02   1.6006088e-02   1.6006527e-02   1.6006641e-02   1.6006667e-02   1.6006672e-02   1.6006673e-02   1.6006673e-02   1.6006673e-02   4.9868854e+01   4.0153055e+01   3.1530897e+01   2.5452992e+01   2.2965916e+01   2.2320005e+01   2.2177878e+01   2.2147920e+01   2.2141682e+01   2.2140390e+01   2.2140124e+01
   1.3333361e-01   2.3450858e-01   2.8107047e-01   3.3174268e-01   3.9010877e-01   4.3188649e-01   4.4693522e-01   4.5055920e-01   4.5132524e-01   4.5148188e-01   4.5151360e-01   4.5152000e-01   1.6001776e-02   1.6003461e-02   1.6004956e-02   1.6006044e-02   1.6006512e-02   1.6006637e-02   1.6006664e-02   1.6006670e-02   1.6006671e-02   1.6006672e-02   1.6006672e-02   5.0121043e+01   4.0543276e+01   3.1931529e+01   2.5689955e+01   2.3039206e+01   2.2337187e+01   2.2181625e+01   2.2148721e+01   2.2141852e+01   2.2140425e+01   2.2140130e+01
   1.3888917e-01   2.2762354e-01   2.7450103e-01   3.2587926e-01   3.8578265e-01   4.2999038e-01   4.4642550e-01   4.5044577e-01   4.5130121e-01   4.5147686e-01   4.5151256e-01   4.5151978e-01   1.6001731e-02   1.6003392e-02   1.6004884e-02   1.6005999e-02   1.6006497e-02   1.6006632e-02   1.6006662e-02   1.6006668e-02   1.6006670e-02   1.6006670e-02   1.6006670e-02   5.0369362e+01   4.0931213e+01   3.2336401e+01   2.5938826e+01   2.3118323e+01   2.2355891e+01   2.2185714e+01   2.2149597e+01   2.2142037e+01   2.2140463e+01   2.2140137e+01
   1.4444472e-01   2.2091129e-01   2.6802686e-01   3.2002957e-01   3.8135650e-01   4.2797574e-01   4.4587223e-01   4.5032172e-01   4.5127485e-01   4.5147134e-01   4.5151141e-01   4.5151954e-01   1.6001688e-02   1.6003324e-02   1.6004812e-02   1.6005952e-02   1.6006480e-02   1.6006627e-02   1.6006660e-02   1.6006667e-02   1.6006668e-02   1.6006668e-02   1.6006669e-02   5.0613758e+01   4.1316668e+01   3.2745012e+01   2.6199591e+01   2.3203636e+01   2.2376243e+01   2.2190174e+01   2.2150554e+01   2.2142240e+01   2.2140505e+01   2.2140144e+01
   1.5000028e-01   2.1436913e-01   2.6164894e-01   3.1419758e-01   3.7683620e-01   4.2583895e-01   4.4527217e-01   4.5018612e-01   4.5124594e-01   4.5146527e-01   4.5151014e-01   4.5151928e-01   1.6001645e-02   1.6003257e-02   1.6004739e-02   1.6005902e-02   1.6006462e-02   1.6006621e-02   1.6006657e-02   1.6006665e-02   1.6006667e-02   1.6006667e-02   1.6006667e-02   5.0854205e+01   4.1699475e+01   3.3156918e+01   2.6472261e+01   2.3295564e+01   2.2398386e+01   2.2195040e+01   2.2151598e+01   2.2142461e+01   2.2140551e+01   2.2140153e+01
   1.5555583e-01   2.0799429e-01   2.5536815e-01   3.0838707e-01   3.7222784e-01   4.2357673e-01   4.4462185e-01   4.5003796e-01   4.5121424e-01   4.5145859e-01   4.5150874e-01   4.5151899e-01   1.6001602e-02   1.6003190e-02   1.6004666e-02   1.6005851e-02   1.6006443e-02   1.6006615e-02   1.6006655e-02   1.6006663e-02   1.6006665e-02   1.6006665e-02   1.6006666e-02   5.1090670e+01   4.2079459e+01   3.3571659e+01   2.6756737e+01   2.3394536e+01   2.2422474e+01   2.2200348e+01   2.2152739e+01   2.2142704e+01   2.2140601e+01   2.2140163e+01
