   Tempo_min  X_1cm       X_5cm       X_10cm      T_1cm       T_5cm       T_10cm 
   37.666667   0.1243877   0.3483167   0.0986129   25.528892   24.734521   55.521669
   38.         0.1250201   0.3455451   0.0954882   25.522329   24.914756   55.65986 
   38.333333   0.1256454   0.3426532   0.0924598   25.516454   25.106501   55.79448 
   38.666667   0.1262632   0.3396431   0.0895253   25.511321   25.310073   55.925583
   39.         0.1268731   0.3365177   0.0866822   25.506989   25.525738   56.053223
   39.333333   0.1274748   0.3332804   0.083928    25.503521   25.753704   56.177454
   39.666667   0.1280677   0.3299352   0.0812605   25.500988   25.994116   56.298334
   40.         0.1286515   0.3264864   0.0786772   25.499466   26.247051   56.41592 
   40.         0.1286515   0.3264864   0.0786772   25.499466   26.247051   56.41592 
   40.333333   0.1275525   0.3244886   0.0765605   36.793468   23.567192   44.198585
   40.666667   0.1247397   0.3238399   0.0752941   45.702001   23.404087   34.181889
   41.         0.1214295   0.3229666   0.0749725   49.367552   23.776906   28.80567 
   41.333333   0.1180115   0.3214394   0.0754188   50.708922   24.394359   27.252719
   41.666667   0.1146223   0.319209    0.0761316   51.269679   25.121499   26.969954
   42.         0.1113032   0.3164024   0.0768852   51.596852   25.826003   26.9227  
   42.333333   0.1080645   0.3131878   0.077635    51.856455   26.432779   26.91221 
   42.666667   0.1049081   0.3097032   0.0783738   52.094728   26.93333    26.9079  
   43.         0.1018334   0.3060407   0.0791005   52.323854   27.355068   26.904544
   43.333333   0.0988394   0.3022554   0.0798154   52.546928   27.731246   26.900975
   43.666667   0.0959247   0.2983787   0.0805187   52.764733   28.087098   26.897142
   44.         0.0930879   0.2944286   0.0812107   52.977483   28.437925   26.893452
   44.333333   0.0903278   0.2904166   0.0818914   53.185262   28.791702   26.890431
   44.666667   0.0876428   0.2863505   0.0825606   53.388124   29.152049   26.888557
   45.         0.0850317   0.282237    0.083218    53.58612    29.520302   26.888206
   45.333333   0.0824929   0.2780819   0.083863    53.779303   29.896693   26.889669
   45.666667   0.0800251   0.2738908   0.0844951   53.967728   30.280954   26.893186
   46.         0.0776269   0.2696689   0.0851135   54.151453   30.672595   26.898968
   46.333333   0.0752967   0.2654213   0.0857175   54.330539   31.071039   26.907219
   46.666667   0.0730333   0.2611527   0.0863062   54.505047   31.475677   26.918148
   47.         0.0708352   0.2568679   0.0868788   54.675045   31.885891   26.931973
   47.333333   0.0687009   0.2525713   0.0874342   54.840598   32.301072   26.948928
   47.666667   0.066629    0.2482671   0.0879714   55.001776   32.720623   26.969258
   48.         0.0646182   0.2439596   0.0884892   55.15865    33.143966   26.99323 
   48.333333   0.0626669   0.2396524   0.0889866   55.311291   33.570539   27.021125
   48.666667   0.0607739   0.2353495   0.0894622   55.459773   33.999803   27.053242
   49.         0.0589377   0.2310543   0.0899147   55.604172   34.431241   27.089897
   49.333333   0.057157    0.2267702   0.0903427   55.744561   34.864356   27.131426
   49.666667   0.0554304   0.2225003   0.0907447   55.881018   35.298676   27.178179
   50.         0.0537565   0.2182479   0.0911194   56.01362    35.733748   27.230523
   50.         0.0537565   0.2182479   0.0911194   56.01362    35.733748   27.230523
   50.333333   0.0523643   0.2149921   0.089347    45.906377   27.949097   50.063438
   50.666667   0.0515359   0.213509    0.0867103   36.546285   25.513559   54.84642 
   51.         0.0513702   0.2125509   0.0839954   30.792109   25.770543   55.929664
   51.333333   0.0518036   0.2111338   0.0813336   28.725932   26.881688   56.245893
   51.666667   0.05249     0.2091321   0.0787495   28.321464   28.197966   56.402873
   52.         0.0531993   0.206693    0.0762462   28.368441   29.386191   56.525135
   52.333333   0.0538618   0.2039779   0.0738224   28.529176   30.322664   56.637938
   52.666667   0.0544625   0.2011016   0.0714762   28.715844   31.031933   56.746384
   53.         0.0550023   0.1981338   0.0692054   28.897132   31.590316   56.851531
   53.333333   0.0554872   0.1951128   0.0670078   29.062529   32.066224   56.953634
   53.666667   0.0559237   0.192059    0.0648815   29.213167   32.50361    57.052793
   54.         0.0563168   0.1889833   0.0628243   29.355291   32.925921   57.149077
